Date,Close,Open,High,Low,Change,Change value
2021-01-01,1084.73,1085.69,1086.1,1085.25,0.0002,
2021-01-04,1086.48,1085.73,1088.3,1080.02,0.0016,1.75
2021-01-05,1086.42,1086.69,1090.33,1082.04,-0.0001,-0.05999999999994543
2021-01-06,1087.93,1087.4,1089.79,1083.91,0.0014000000000000002,1.509999999999991
2021-01-07,1094.28,1088.03,1096.78,1085.42,0.0058,6.349999999999909
2021-01-08,1092.93,1094.35,1099.21,1088.79,-0.0012,-1.349999999999909
2021-01-11,1097.23,1093.01,1101.05,1092.73,0.0039000000000000003,4.2999999999999545
2021-01-12,1094.48,1097.38,1103.46,1092.97,-0.0025,-2.75
2021-01-13,1097.12,1094.6,1099.33,1092.37,0.0024,2.6399999999998727
2021-01-14,1095.88,1098.11,1103.42,1093.93,-0.0011,-1.2399999999997817
2021-01-15,1103.27,1096.04,1105.33,1094.93,0.0067,7.389999999999873
2021-01-18,1102.52,1104.26,1108.42,1102.28,-0.0007000000000000001,-0.75
2021-01-19,1101.44,1104.18,1106.17,1100.2,-0.001,-1.0799999999999272
2021-01-20,1096.35,1102.44,1103.39,1096.88,-0.0046,-5.0900000000001455
2021-01-21,1099.88,1097.35,1102.67,1096.59,0.0032,3.5300000000002
2021-01-22,1105.41,1099.97,1107.29,1098.95,0.005,5.529999999999973
2021-01-25,1102.58,1105.54,1105.92,1100.05,-0.0026,-2.8300000000001546
2021-01-26,1101.02,1102.69,1108.24,1100.47,-0.0014000000000000002,-1.5599999999999454
2021-01-27,1108.38,1102.01,1109.9,1100.87,0.0067,7.360000000000127
2021-01-28,1112.52,1108.42,1121.36,1107.49,0.0037,4.139999999999873
2021-01-29,1117.64,1113.24,1121.76,1112.15,0.0046,5.120000000000118
2021-02-01,1116.51,1118.43,1120.98,1115.55,-0.001,-1.1300000000001091
2021-02-02,1115.37,1117.44,1119.7,1113.65,-0.001,-1.1400000000001
2021-02-03,1113.46,1115.51,1117.25,1111.8,-0.0017000000000000001,-1.9099999999998545
2021-02-04,1120.0,1113.58,1122.74,1112.48,0.0059,6.539999999999964
2021-02-05,1116.77,1120.11,1127.85,1116.22,-0.0029,-3.230000000000018
2021-02-08,1115.61,1117.76,1122.17,1116.05,-0.001,-1.1600000000000819
2021-02-09,1110.88,1117.31,1118.75,1110.08,-0.0042,-4.729999999999791
2021-02-10,1105.48,1111.01,1114.16,1103.59,-0.0049,-5.400000000000091
2021-02-11,1102.12,1106.48,1108.02,1102.05,-0.003,-3.3600000000001273
2021-02-12,1102.59,1103.12,1107.59,1101.73,0.0004,0.4700000000000273
2021-02-15,1101.31,1104.37,1106.0,1100.7,-0.0012,-1.2799999999999727
2021-02-16,1106.58,1102.31,1109.55,1096.91,0.0048,5.269999999999982
2021-02-17,1105.61,1107.58,1110.81,1104.49,-0.0009,-0.9700000000000273
2021-02-18,1106.96,1106.5,1110.15,1103.19,0.0012,1.3500000000001364
2021-02-19,1104.27,1107.08,1111.28,1102.22,-0.0024,-2.6900000000000546
2021-02-22,1111.59,1106.02,1116.1,1102.83,0.0066,7.319999999999936
2021-02-23,1110.13,1112.58,1114.81,1108.24,-0.0013,-1.459999999999809
2021-02-24,1107.27,1110.22,1113.75,1106.08,-0.0026,-2.8600000000001273
2021-02-25,1118.77,1107.54,1121.61,1105.7,0.0104,11.5
2021-02-26,1123.89,1119.47,1130.33,1118.41,0.0046,5.120000000000118
2021-03-01,1113.33,1124.89,1125.15,1113.09,-0.009399999999999999,-10.560000000000173
2021-03-02,1125.01,1113.53,1128.28,1102.06,0.0105,11.680000000000064
2021-03-03,1126.05,1125.29,1128.05,1116.95,0.0009,1.0399999999999636
2021-03-04,1130.87,1127.05,1133.06,1123.36,0.0043,4.819999999999936
2021-03-05,1128.0,1131.03,1137.27,1124.04,-0.0025,-2.869999999999891
2021-03-08,1140.83,1128.85,1144.07,1127.06,0.011399999999999999,12.829999999999927
2021-03-09,1134.91,1141.83,1144.85,1133.38,-0.0052,-5.919999999999845
2021-03-10,1135.91,1135.91,1145.6,1135.31,0.0009,1.0
2021-03-11,1130.35,1136.91,1140.99,1128.9,-0.0049,-5.560000000000173
2021-03-12,1136.0,1130.85,1139.35,1127.27,0.005,5.650000000000091
2021-03-15,1132.35,1136.5,1138.78,1130.92,-0.0032,-3.650000000000091
2021-03-16,1129.0,1132.85,1135.91,1128.14,-0.003,-3.349999999999909
2021-03-17,1121.21,1129.93,1134.31,1120.65,-0.0069,-7.789999999999964
2021-03-18,1127.75,1121.91,1131.3,1120.04,0.0058,6.539999999999964
2021-03-19,1129.12,1128.25,1134.8,1125.31,0.0012,1.3699999999998909
2021-03-22,1126.0,1129.47,1134.01,1125.61,-0.0028000000000000004,-3.119999999999891
2021-03-23,1132.9,1126.49,1134.48,1125.02,0.0060999999999999995,6.900000000000091
2021-03-24,1134.9,1133.4,1135.96,1130.24,0.0018,2.0
2021-03-25,1135.12,1135.4,1138.02,1131.93,0.0002,0.2199999999997999
2021-03-26,1128.52,1135.24,1136.09,1128.07,-0.0058,-6.599999999999909
2021-03-29,1131.56,1128.95,1136.41,1128.77,0.0027,3.0399999999999636
2021-03-30,1132.59,1132.56,1136.29,1131.42,0.0009,1.0299999999999727
2021-03-31,1127.17,1133.54,1134.68,1125.32,-0.0048,-5.419999999999845
2021-04-01,1128.72,1127.96,1133.82,1125.31,0.0014000000000000002,1.5499999999999545
2021-04-02,1128.64,1128.86,1130.38,1126.29,-0.0001,-0.07999999999992724
2021-04-05,1124.18,1129.69,1130.03,1122.45,-0.004,-4.460000000000036
2021-04-06,1119.17,1125.04,1125.68,1116.57,-0.0045000000000000005,-5.009999999999991
2021-04-07,1119.03,1119.29,1120.36,1114.67,-0.0001,-0.14000000000010004
2021-04-08,1115.83,1119.2,1121.56,1114.59,-0.0029,-3.2000000000000455
2021-04-09,1120.98,1116.75,1122.58,1113.15,0.0046,5.150000000000091
2021-04-12,1124.32,1121.77,1127.28,1120.29,0.003,3.339999999999918
2021-04-13,1121.37,1125.23,1128.42,1120.38,-0.0026,-2.9500000000000455
2021-04-14,1116.08,1121.55,1123.91,1112.09,-0.004699999999999999,-5.289999999999964
2021-04-15,1116.68,1116.26,1119.82,1113.01,0.0005,0.6000000000001364
2021-04-16,1116.5,1116.85,1121.57,1113.06,-0.0002,-0.18000000000006366
2021-04-19,1115.33,1117.05,1120.26,1112.94,-0.001,-1.1700000000000728
2021-04-20,1117.28,1115.51,1119.74,1110.29,0.0017000000000000001,1.9500000000000455
2021-04-21,1116.35,1117.45,1121.61,1114.78,-0.0008,-0.9300000000000637
2021-04-22,1118.79,1116.7,1121.69,1114.13,0.0022,2.4400000000000546
2021-04-23,1114.72,1120.18,1121.54,1113.94,-0.0036,-4.069999999999936
2021-04-26,1110.27,1115.85,1116.95,1108.96,-0.004,-4.4500000000000455
2021-04-27,1113.33,1110.44,1114.55,1108.27,0.0028000000000000004,3.0599999999999454
2021-04-28,1109.88,1113.43,1115.52,1108.31,-0.0031,-3.449999999999818
2021-04-29,1107.63,1110.06,1111.17,1105.3,-0.002,-2.25
2021-04-30,1117.16,1107.81,1119.45,1106.52,0.0086,9.529999999999973
2021-05-03,1120.34,1117.76,1124.94,1115.51,0.0028000000000000004,3.1799999999998363
2021-05-04,1125.77,1120.5,1128.92,1118.84,0.0048,5.430000000000064
2021-05-05,1124.72,1125.94,1128.3,1122.18,-0.0009,-1.0499999999999545
2021-05-06,1120.28,1125.02,1127.02,1119.63,-0.0039000000000000003,-4.440000000000055
2021-05-07,1111.23,1120.45,1123.67,1109.48,-0.008100000000000001,-9.049999999999955
2021-05-10,1116.68,1112.97,1118.1,1110.49,0.0049,5.4500000000000455
2021-05-11,1119.58,1116.83,1122.39,1114.95,0.0026,2.8999999999998636
2021-05-12,1132.73,1119.67,1133.94,1118.74,0.011699999999999999,13.150000000000091
2021-05-13,1126.73,1132.92,1136.13,1126.17,-0.0053,-6.0
2021-05-14,1125.79,1126.89,1131.31,1125.23,-0.0008,-0.9400000000000546
2021-05-17,1136.73,1126.52,1139.74,1125.95,0.0097,10.940000000000055
2021-05-18,1126.93,1136.91,1139.74,1125.64,-0.0086,-9.799999999999955
2021-05-19,1131.18,1127.07,1133.31,1124.6,0.0038,4.25
2021-05-20,1127.66,1131.35,1134.41,1127.17,-0.0031,-3.519999999999982
2021-05-21,1127.63,1127.99,1129.36,1122.24,-0.0,-0.029999999999972715
2021-05-24,1123.48,1127.86,1129.6,1122.8,-0.0037,-4.150000000000091
2021-05-25,1122.36,1123.6,1126.55,1120.35,-0.001,-1.1200000000001182
2021-05-26,1116.61,1122.54,1123.49,1114.67,-0.0051,-5.75
2021-05-27,1118.55,1116.79,1120.32,1115.07,0.0017000000000000001,1.9400000000000546
2021-05-28,1113.08,1118.72,1119.35,1112.86,-0.0049,-5.470000000000027
2021-05-31,1106.58,1113.83,1117.42,1106.5,-0.0058,-6.5
2021-06-01,1108.38,1108.08,1110.59,1104.69,0.0016,1.800000000000182
2021-06-02,1110.92,1108.49,1114.81,1106.78,0.0023,2.5399999999999636
2021-06-03,1116.46,1111.1,1118.82,1108.86,0.005,5.539999999999964
2021-06-04,1110.52,1116.64,1119.51,1108.77,-0.0053,-5.940000000000055
2021-06-07,1110.62,1110.68,1114.53,1109.07,0.0001,0.09999999999990905
2021-06-08,1117.72,1110.8,1118.81,1108.99,0.0064,7.100000000000136
2021-06-09,1115.61,1117.72,1119.02,1112.3,-0.0019,-2.1100000000001273
2021-06-10,1112.32,1117.03,1119.26,1111.93,-0.0029,-3.2899999999999636
2021-06-11,1116.4,1112.56,1118.54,1109.25,0.0037,4.080000000000155
2021-06-14,1116.33,1116.55,1120.05,1114.45,-0.0001,-0.07000000000016371
2021-06-15,1117.09,1117.33,1119.39,1116.14,0.0007000000000000001,0.7599999999999909
2021-06-16,1132.68,1118.09,1137.17,1115.74,0.013999999999999999,15.590000000000146
2021-06-17,1134.3,1132.84,1137.0,1127.35,0.0014000000000000002,1.6199999999998909
2021-06-18,1134.94,1134.47,1138.14,1128.06,0.0006,0.6400000000001
2021-06-21,1131.4,1135.24,1139.47,1130.91,-0.0031,-3.5399999999999636
2021-06-22,1133.57,1131.57,1138.81,1130.35,0.0019,2.1699999999998454
2021-06-23,1135.85,1133.73,1138.63,1131.17,0.002,2.2799999999999727
2021-06-24,1130.78,1136.03,1138.69,1129.97,-0.0045000000000000005,-5.069999999999936
2021-06-25,1127.12,1131.87,1133.1,1124.1,-0.0032,-3.660000000000082
2021-06-28,1130.04,1127.34,1132.68,1126.58,0.0026,2.9200000000000728
2021-06-29,1131.62,1130.21,1134.77,1127.65,0.0014000000000000002,1.5799999999999272
2021-06-30,1130.48,1131.8,1132.89,1125.59,-0.001,-1.1399999999998727
2021-07-01,1134.33,1130.63,1135.98,1128.28,0.0034000000000000002,3.849999999999909
2021-07-02,1130.53,1134.51,1138.6,1129.6,-0.0033,-3.7999999999999545
2021-07-05,1130.42,1130.77,1132.72,1128.13,-0.0001,-0.10999999999989996
2021-07-06,1136.75,1130.59,1139.97,1129.03,0.005600000000000001,6.329999999999927
2021-07-07,1141.5,1136.93,1144.27,1135.03,0.0042,4.75
2021-07-08,1146.59,1141.65,1151.69,1139.55,0.0045000000000000005,5.089999999999918
2021-07-09,1143.73,1146.81,1150.52,1143.18,-0.0025,-2.8599999999999
2021-07-12,1146.85,1145.31,1150.06,1144.18,0.0027,3.119999999999891
2021-07-13,1149.94,1147.18,1152.9,1141.21,0.0027,3.0900000000001455
2021-07-14,1144.22,1150.11,1152.27,1142.63,-0.005,-5.720000000000027
2021-07-15,1141.59,1144.36,1148.31,1138.93,-0.0023,-2.630000000000109
2021-07-16,1141.51,1141.77,1144.28,1137.99,-0.0001,-0.07999999999992724
2021-07-19,1150.83,1142.5,1155.59,1141.85,0.008199999999999999,9.319999999999936
2021-07-20,1147.47,1151.92,1153.07,1146.55,-0.0029,-3.3599999999999
2021-07-21,1149.31,1148.46,1156.44,1147.07,0.0016,1.8399999999999181
2021-07-22,1150.55,1149.48,1153.12,1146.85,0.0011,1.240000000000009
2021-07-23,1151.52,1150.86,1155.41,1147.15,0.0008,0.9700000000000273
2021-07-26,1152.54,1152.12,1157.24,1151.26,0.0009,1.0199999999999818
2021-07-27,1154.25,1152.71,1158.65,1148.86,0.0015,1.7100000000000364
2021-07-28,1150.27,1154.44,1159.96,1149.24,-0.0034000000000000002,-3.980000000000018
2021-07-29,1143.12,1150.44,1152.12,1140.48,-0.0062,-7.150000000000091
2021-07-30,1151.41,1143.3,1154.78,1142.04,0.0073,8.290000000000191
2021-08-02,1150.18,1151.9,1154.6,1148.52,-0.0011,-1.2300000000000182
2021-08-03,1148.44,1150.35,1153.91,1146.59,-0.0015,-1.740000000000009
2021-08-04,1144.76,1148.63,1149.72,1140.02,-0.0032,-3.6800000000000637
2021-08-05,1142.59,1144.94,1146.84,1140.62,-0.0019,-2.1700000000000728
2021-08-06,1144.93,1142.94,1148.29,1140.15,0.002,2.3400000000001455
2021-08-09,1146.89,1145.93,1148.86,1142.35,0.0017000000000000001,1.9600000000000364
2021-08-10,1152.7,1147.07,1154.29,1145.78,0.0051,5.809999999999945
2021-08-11,1153.98,1152.9,1159.69,1151.89,0.0011,1.2799999999999727
2021-08-12,1162.98,1154.16,1166.15,1152.96,0.0078000000000000005,9.0
2021-08-13,1161.37,1163.16,1171.15,1160.38,-0.0014000000000000002,-1.6100000000001273
2021-08-16,1165.28,1162.37,1168.81,1161.46,0.0034000000000000002,3.910000000000082
2021-08-17,1177.3,1165.45,1179.8,1164.6,0.0103,12.019999999999982
2021-08-18,1170.03,1177.44,1179.94,1166.89,-0.0062,-7.269999999999982
2021-08-19,1176.28,1170.28,1178.4,1169.66,0.0053,6.25
2021-08-20,1175.15,1176.46,1184.85,1171.21,-0.001,-1.1299999999998818
2021-08-23,1169.36,1175.24,1177.56,1167.43,-0.0049,-5.790000000000191
2021-08-24,1163.65,1169.06,1171.57,1163.1,-0.0049,-5.709999999999809
2021-08-25,1163.87,1164.02,1169.37,1162.92,0.0002,0.2199999999997999
2021-08-26,1170.53,1164.05,1172.01,1162.97,0.005699999999999999,6.660000000000082
2021-08-27,1161.23,1170.71,1174.77,1160.89,-0.0079,-9.299999999999955
2021-08-30,1164.34,1162.33,1167.71,1161.88,0.0027,3.1099999999999
2021-08-31,1158.73,1166.07,1167.43,1155.18,-0.0048,-5.6099999999999
2021-09-01,1155.47,1158.95,1160.64,1154.54,-0.0028000000000000004,-3.259999999999991
2021-09-02,1158.05,1156.08,1162.44,1155.05,0.0022,2.5799999999999272
2021-09-03,1154.28,1158.23,1159.71,1152.54,-0.0033,-3.769999999999982
2021-09-06,1157.04,1155.75,1159.97,1154.53,0.0024,2.759999999999991
2021-09-07,1161.98,1157.33,1166.02,1155.0,0.0043,4.940000000000055
2021-09-08,1166.54,1162.16,1168.83,1161.15,0.0039000000000000003,4.559999999999945
2021-09-09,1169.64,1167.14,1172.21,1166.05,0.0027,3.1000000000001364
2021-09-10,1170.23,1169.81,1174.13,1164.83,0.0005,0.5899999999999181
2021-09-13,1172.83,1170.38,1177.53,1170.02,0.0022,2.599999999999909
2021-09-14,1172.23,1173.44,1175.2,1166.38,-0.0005,-0.599999999999909
2021-09-15,1166.23,1172.41,1174.7,1164.77,-0.0051,-6.0
2021-09-16,1175.19,1166.39,1176.94,1165.2,0.0077,8.960000000000036
2021-09-17,1180.69,1175.36,1182.81,1174.23,0.004699999999999999,5.5
2021-09-20,1185.67,1181.56,1192.41,1181.47,0.0042,4.980000000000018
2021-09-21,1183.96,1187.39,1188.61,1182.66,-0.0014000000000000002,-1.7100000000000364
2021-09-22,1181.75,1184.41,1185.53,1178.25,-0.0019,-2.2100000000000364
2021-09-23,1174.63,1181.99,1186.62,1170.36,-0.006,-7.119999999999891
2021-09-24,1179.68,1174.83,1182.05,1171.81,0.0043,5.0499999999999545
2021-09-27,1177.94,1179.95,1182.46,1173.98,-0.0015,-1.740000000000009
2021-09-28,1187.16,1177.09,1188.67,1176.37,0.0078000000000000005,9.220000000000027
2021-09-29,1187.11,1188.04,1189.26,1181.2,-0.0,-0.0500000000001819
2021-09-30,1184.23,1187.93,1189.38,1180.22,-0.0024,-2.8799999999998818
2021-10-01,1180.35,1184.78,1189.05,1179.2,-0.0033,-3.880000000000109
2021-10-04,1184.12,1179.9,1185.97,1178.41,0.0032,3.769999999999982
2021-10-05,1186.48,1184.45,1189.12,1183.83,0.002,2.3600000000001273
2021-10-06,1190.21,1186.69,1197.94,1185.9,0.0031,3.730000000000018
2021-10-07,1190.88,1190.74,1192.08,1188.15,0.0006,0.6700000000000728
2021-10-08,1196.79,1191.33,1197.61,1190.35,0.005,5.9099999999998545
2021-10-11,1195.3,1196.54,1196.99,1191.89,-0.0012,-1.490000000000009
2021-10-12,1197.29,1195.75,1200.9,1195.38,0.0017000000000000001,1.990000000000009
2021-10-13,1186.18,1197.92,1199.49,1186.3,-0.009300000000000001,-11.1099999999999
2021-10-14,1181.69,1186.87,1190.94,1181.76,-0.0038,-4.490000000000009
