,press,date,0_percent,1_percent,2_percent,뉴스개수
0,네이버금융,20210601,0.35714285714285715,0.5,0.14285714285714285,14
1,네이버금융,20210602,0.5,0.3888888888888889,0.1111111111111111,18
2,네이버금융,20210603,0.15789473684210525,0.7368421052631579,0.10526315789473684,19
3,네이버금융,20210604,0.7894736842105263,0.10526315789473684,0.10526315789473684,19
4,네이버금융,20210605,0.0,1.0,0.0,2
5,네이버금융,20210606,0.25,0.25,0.5,8
6,네이버금융,20210607,0.6153846153846154,0.38461538461538464,0.0,13
7,네이버금융,20210608,0.55,0.1,0.35,20
8,네이버금융,20210609,0.625,0.1875,0.1875,16
9,네이버금융,20210610,0.631578947368421,0.05263157894736842,0.3157894736842105,19
10,네이버금융,20210611,0.5263157894736842,0.3157894736842105,0.15789473684210525,19
11,네이버금융,20210612,0.3333333333333333,0.6666666666666666,0.0,3
12,네이버금융,20210613,0.2857142857142857,0.0,0.7142857142857143,7
13,네이버금융,20210614,0.5,0.25,0.25,12
14,네이버금융,20210615,0.3,0.5,0.2,20
15,네이버금융,20210616,0.2631578947368421,0.42105263157894735,0.3157894736842105,19
16,네이버금융,20210617,0.5,0.2222222222222222,0.2777777777777778,18
17,네이버금융,20210618,0.47368421052631576,0.2631578947368421,0.2631578947368421,19
18,네이버금융,20210619,1.0,0.0,0.0,3
19,네이버금융,20210620,0.0,0.5714285714285714,0.42857142857142855,7
20,네이버금융,20210621,0.75,0.16666666666666666,0.08333333333333333,12
21,네이버금융,20210622,0.3,0.5,0.2,20
22,네이버금융,20210623,0.47368421052631576,0.47368421052631576,0.05263157894736842,19
23,네이버금융,20210624,0.7,0.15,0.15,20
24,네이버금융,20210625,0.47058823529411764,0.47058823529411764,0.058823529411764705,17
25,네이버금융,20210626,0.5,0.5,0.0,2
26,네이버금융,20210627,0.0,0.8,0.2,5
27,네이버금융,20210628,0.4166666666666667,0.25,0.3333333333333333,12
28,네이버금융,20210629,0.5,0.25,0.25,20
29,네이버금융,20210630,0.5263157894736842,0.42105263157894735,0.05263157894736842,19
30,네이버금융,20210701,0.6111111111111112,0.2777777777777778,0.1111111111111111,18
31,네이버금융,20210702,0.55,0.35,0.1,20
32,네이버금융,20210703,0.0,1.0,0.0,2
33,네이버금융,20210704,0.0,0.625,0.375,8
34,네이버금융,20210705,0.2727272727272727,0.6363636363636364,0.09090909090909091,11
35,네이버금융,20210706,0.3333333333333333,0.4666666666666667,0.2,15
36,네이버금융,20210707,0.5882352941176471,0.23529411764705882,0.17647058823529413,17
37,네이버금융,20210708,0.7777777777777778,0.1111111111111111,0.1111111111111111,18
38,네이버금융,20210709,0.8823529411764706,0.0,0.11764705882352941,17
39,네이버금융,20210710,0.0,1.0,0.0,2
40,네이버금융,20210711,0.5714285714285714,0.2857142857142857,0.14285714285714285,7
41,네이버금융,20210712,0.18181818181818182,0.6363636363636364,0.18181818181818182,11
42,네이버금융,20210713,0.42105263157894735,0.42105263157894735,0.15789473684210525,19
43,네이버금융,20210714,0.625,0.3125,0.0625,16
44,네이버금융,20210715,0.5,0.4375,0.0625,16
45,네이버금융,20210716,0.9444444444444444,0.0,0.05555555555555555,18
46,네이버금융,20210717,1.0,0.0,0.0,2
47,네이버금융,20210718,0.125,0.0,0.875,8
48,네이버금융,20210719,0.9090909090909091,0.0,0.09090909090909091,11
49,네이버금융,20210720,0.8,0.1,0.1,20
50,네이버금융,20210721,0.6666666666666666,0.3333333333333333,0.0,18
51,네이버금융,20210722,0.2777777777777778,0.7222222222222222,0.0,18
52,네이버금융,20210723,0.47368421052631576,0.3684210526315789,0.15789473684210525,19
53,네이버금융,20210724,0.0,1.0,0.0,2
54,네이버금융,20210725,0.25,0.125,0.625,8
55,네이버금융,20210726,0.9090909090909091,0.09090909090909091,0.0,11
56,네이버금융,20210727,0.5882352941176471,0.4117647058823529,0.0,17
57,네이버금융,20210728,0.7222222222222222,0.05555555555555555,0.2222222222222222,18
58,네이버금융,20210729,0.5263157894736842,0.2631578947368421,0.21052631578947367,19
59,네이버금융,20210730,0.75,0.1875,0.0625,16
60,네이버금융,20210731,1.0,0.0,0.0,3
61,네이버금융,20210801,0.3333333333333333,0.16666666666666666,0.5,6
62,네이버금융,20210802,0.4166666666666667,0.4166666666666667,0.16666666666666666,12
63,네이버금융,20210803,0.45,0.4,0.15,20
64,네이버금융,20210804,0.2777777777777778,0.6666666666666666,0.05555555555555555,18
65,네이버금융,20210805,0.5882352941176471,0.23529411764705882,0.17647058823529413,17
66,네이버금융,20210806,0.5333333333333333,0.3333333333333333,0.13333333333333333,15
67,네이버금융,20210807,0.0,1.0,0.0,2
68,네이버금융,20210808,0.0,0.5714285714285714,0.42857142857142855,7
69,네이버금융,20210809,0.2727272727272727,0.36363636363636365,0.36363636363636365,11
70,네이버금융,20210810,0.875,0.0625,0.0625,16
71,네이버금융,20210811,0.6875,0.25,0.0625,16
72,네이버금융,20210812,0.625,0.375,0.0,16
73,네이버금융,20210813,0.7857142857142857,0.14285714285714285,0.07142857142857142,14
74,네이버금융,20210814,0.0,1.0,0.0,2
75,네이버금융,20210815,0.4,0.0,0.6,5
76,네이버금융,20210816,1.0,0.0,0.0,1
77,네이버금융,20210817,0.6842105263157895,0.2631578947368421,0.05263157894736842,19
78,네이버금융,20210818,0.7058823529411765,0.23529411764705882,0.058823529411764705,17
79,네이버금융,20210819,0.8235294117647058,0.058823529411764705,0.11764705882352941,17
80,네이버금융,20210820,0.8888888888888888,0.1111111111111111,0.0,18
81,네이버금융,20210821,0.0,1.0,0.0,2
82,네이버금융,20210822,0.2857142857142857,0.0,0.7142857142857143,7
83,네이버금융,20210823,0.18181818181818182,0.6363636363636364,0.18181818181818182,11
84,네이버금융,20210824,0.15789473684210525,0.8421052631578947,0.0,19
85,네이버금융,20210825,0.375,0.4375,0.1875,16
86,네이버금융,20210826,0.5882352941176471,0.29411764705882354,0.11764705882352941,17
87,네이버금융,20210827,0.5555555555555556,0.2222222222222222,0.2222222222222222,18
88,네이버금융,20210828,0.25,0.75,0.0,4
89,네이버금융,20210829,0.14285714285714285,0.42857142857142855,0.42857142857142855,7
90,네이버금융,20210830,0.2727272727272727,0.5454545454545454,0.18181818181818182,11
91,네이버금융,20210831,0.2631578947368421,0.631578947368421,0.10526315789473684,19
92,네이버금융,20210901,0.5,0.3333333333333333,0.16666666666666666,18
93,네이버금융,20210902,0.7647058823529411,0.11764705882352941,0.11764705882352941,17
94,네이버금융,20210903,0.35714285714285715,0.42857142857142855,0.21428571428571427,14
95,네이버금융,20210904,1.0,0.0,0.0,3
96,네이버금융,20210905,0.5714285714285714,0.0,0.42857142857142855,7
97,네이버금융,20210906,0.5833333333333334,0.16666666666666666,0.25,12
98,네이버금융,20210907,0.6,0.26666666666666666,0.13333333333333333,15
99,네이버금융,20210908,0.875,0.0625,0.0625,16
100,네이버금융,20210909,0.9285714285714286,0.0,0.07142857142857142,14
101,네이버금융,20210910,0.3125,0.5,0.1875,16
102,네이버금융,20210911,1.0,0.0,0.0,1
103,네이버금융,20210912,0.6666666666666666,0.0,0.3333333333333333,6
104,네이버금융,20210913,0.8181818181818182,0.09090909090909091,0.09090909090909091,11
105,네이버금융,20210914,0.35714285714285715,0.2857142857142857,0.35714285714285715,14
106,네이버금융,20210915,0.5294117647058824,0.47058823529411764,0.0,17
107,네이버금융,20210916,0.8666666666666667,0.13333333333333333,0.0,15
108,네이버금융,20210917,0.5882352941176471,0.35294117647058826,0.058823529411764705,17
109,네이버금융,20210918,1.0,0.0,0.0,2
110,네이버금융,20210919,1.0,0.0,0.0,2
111,네이버금융,20210921,1.0,0.0,0.0,3
112,네이버금융,20210922,0.2,0.4,0.4,5
113,네이버금융,20210923,0.5294117647058824,0.4117647058823529,0.058823529411764705,17
114,네이버금융,20210924,0.42857142857142855,0.42857142857142855,0.14285714285714285,14
115,네이버금융,20210925,1.0,0.0,0.0,1
116,네이버금융,20210926,0.8333333333333334,0.16666666666666666,0.0,6
117,네이버금융,20210927,0.5555555555555556,0.3333333333333333,0.1111111111111111,9
118,네이버금융,20210928,0.7333333333333333,0.13333333333333333,0.13333333333333333,15
119,네이버금융,20210929,0.8571428571428571,0.07142857142857142,0.07142857142857142,14
120,네이버금융,20210930,0.5625,0.375,0.0625,16
121,네이버금융,20211001,0.9375,0.0,0.0625,16
122,네이버금융,20211002,0.0,1.0,0.0,1
123,네이버금융,20211003,0.6,0.2,0.2,5
124,네이버금융,20211005,0.5,0.14285714285714285,0.35714285714285715,14
125,네이버금융,20211006,0.6923076923076923,0.3076923076923077,0.0,13
126,네이버금융,20211007,0.21428571428571427,0.7857142857142857,0.0,14
127,네이버금융,20211008,0.4666666666666667,0.4,0.13333333333333333,15
128,네이버금융,20211009,0.0,1.0,0.0,1
129,네이버금융,20211010,0.8333333333333334,0.16666666666666666,0.0,6
130,네이버금융,20211011,1.0,0.0,0.0,2
131,네이버금융,20211012,0.875,0.0625,0.0625,16
132,네이버금융,20211013,0.4666666666666667,0.5333333333333333,0.0,15
133,네이버금융,20211014,0.375,0.625,0.0,16
134,네이버금융,20211015,0.3125,0.5625,0.125,16
135,네이버금융,20211016,0.0,1.0,0.0,2
136,네이버금융,20211017,0.16666666666666666,0.6666666666666666,0.16666666666666666,6
137,네이버금융,20211018,0.5454545454545454,0.2727272727272727,0.18181818181818182,11
138,네이버금융,20211019,0.23529411764705882,0.6470588235294118,0.11764705882352941,17
139,네이버금융,20211020,0.6,0.2,0.2,15
140,네이버금융,20211021,0.7333333333333333,0.2,0.06666666666666667,15
141,네이버금융,20211022,0.6,0.3333333333333333,0.06666666666666667,15
142,네이버금융,20211023,0.6666666666666666,0.3333333333333333,0.0,3
143,네이버금융,20211024,0.25,0.0,0.75,4
144,네이버금융,20211025,0.5454545454545454,0.2727272727272727,0.18181818181818182,11
145,네이버금융,20211026,0.11764705882352941,0.6470588235294118,0.23529411764705882,17
146,네이버금융,20211027,0.4666666666666667,0.2,0.3333333333333333,15
147,네이버금융,20211028,0.875,0.0625,0.0625,16
148,네이버금융,20211029,0.7647058823529411,0.23529411764705882,0.0,17
149,네이버금융,20211030,1.0,0.0,0.0,3
150,네이버금융,20211031,0.5,0.16666666666666666,0.3333333333333333,6
151,네이버금융,20211101,0.6666666666666666,0.25,0.08333333333333333,12
152,네이버금융,20211102,0.25,0.5625,0.1875,16
153,네이버금융,20211103,0.5,0.3125,0.1875,16
154,네이버금융,20211104,0.75,0.25,0.0,16
155,네이버금융,20211105,0.7857142857142857,0.14285714285714285,0.07142857142857142,14
156,네이버금융,20211106,0.0,1.0,0.0,2
157,네이버금융,20211107,0.0,0.5,0.5,6
158,네이버금융,20211108,0.8181818181818182,0.09090909090909091,0.09090909090909091,11
159,네이버금융,20211109,0.3125,0.5625,0.125,16
160,네이버금융,20211110,1.0,0.0,0.0,14
161,네이버금융,20211111,0.7333333333333333,0.26666666666666666,0.0,15
162,네이버금융,20211112,0.17647058823529413,0.7058823529411765,0.11764705882352941,17
163,네이버금융,20211113,0.0,0.5,0.5,4
164,네이버금융,20211114,0.16666666666666666,0.0,0.8333333333333334,6
165,네이버금융,20211115,0.3333333333333333,0.25,0.4166666666666667,12
166,네이버금융,20211116,0.8235294117647058,0.11764705882352941,0.058823529411764705,17
167,네이버금융,20211117,0.47058823529411764,0.29411764705882354,0.23529411764705882,17
168,네이버금융,20211118,0.875,0.125,0.0,16
169,네이버금융,20211119,0.3333333333333333,0.3333333333333333,0.3333333333333333,15
170,네이버금융,20211120,1.0,0.0,0.0,1
171,네이버금융,20211121,0.0,0.3333333333333333,0.6666666666666666,6
172,네이버금융,20211122,0.36363636363636365,0.2727272727272727,0.36363636363636365,11
173,네이버금융,20211123,0.7647058823529411,0.11764705882352941,0.11764705882352941,17
174,네이버금융,20211124,0.7142857142857143,0.2857142857142857,0.0,14
175,네이버금융,20211125,0.8666666666666667,0.06666666666666667,0.06666666666666667,15
176,네이버금융,20211126,0.9230769230769231,0.07692307692307693,0.0,13
177,네이버금융,20211127,1.0,0.0,0.0,2
178,네이버금융,20211128,0.8,0.2,0.0,5
179,네이버금융,20211129,0.7272727272727273,0.18181818181818182,0.09090909090909091,11
180,네이버금융,20211130,0.5882352941176471,0.23529411764705882,0.17647058823529413,17
181,네이버금융,20211201,0.6666666666666666,0.26666666666666666,0.06666666666666667,15
182,네이버금융,20211202,0.625,0.3125,0.0625,16
183,네이버금융,20211203,0.4375,0.375,0.1875,16
184,네이버금융,20211204,0.6666666666666666,0.0,0.3333333333333333,3
185,네이버금융,20211205,0.6,0.0,0.4,5
186,네이버금융,20211206,0.4166666666666667,0.16666666666666666,0.4166666666666667,12
187,네이버금융,20211207,0.375,0.5625,0.0625,16
188,네이버금융,20211208,0.375,0.5,0.125,16
189,네이버금융,20211209,0.26666666666666666,0.5333333333333333,0.2,15
190,네이버금융,20211210,0.8125,0.0625,0.125,16
191,네이버금융,20211211,0.0,1.0,0.0,1
192,네이버금융,20211212,0.3333333333333333,0.16666666666666666,0.5,6
193,네이버금융,20211213,0.36363636363636365,0.36363636363636365,0.2727272727272727,11
194,네이버금융,20211214,0.8666666666666667,0.0,0.13333333333333333,15
195,네이버금융,20211215,0.6875,0.0,0.3125,16
196,네이버금융,20211216,0.2,0.8,0.0,15
197,네이버금융,20211217,0.47058823529411764,0.29411764705882354,0.23529411764705882,17
198,네이버금융,20211218,1.0,0.0,0.0,1
199,네이버금융,20211219,0.0,0.5,0.5,6
200,네이버금융,20211220,0.8181818181818182,0.09090909090909091,0.09090909090909091,11
201,네이버금융,20211221,0.4375,0.4375,0.125,16
202,네이버금융,20211222,0.25,0.5625,0.1875,16
203,네이버금융,20211223,0.3125,0.625,0.0625,16
204,네이버금융,20211224,0.3333333333333333,0.4666666666666667,0.2,15
205,네이버금융,20211225,0.0,0.0,1.0,1
206,네이버금융,20211226,0.0,0.6666666666666666,0.3333333333333333,6
207,네이버금융,20211227,0.8,0.1,0.1,10
208,네이버금융,20211228,0.3125,0.5625,0.125,16
209,네이버금융,20211229,0.7647058823529411,0.23529411764705882,0.0,17
210,네이버금융,20211230,0.35294117647058826,0.35294117647058826,0.29411764705882354,17
211,네이버금융,20211231,0.75,0.125,0.125,8
212,네이버금융,20220101,1.0,0.0,0.0,4
213,네이버금융,20220103,0.0,0.5,0.5,6
214,네이버금융,20220104,0.16666666666666666,0.6666666666666666,0.16666666666666666,12
215,네이버금융,20220105,0.4,0.45,0.15,20
216,네이버금융,20220106,0.3333333333333333,0.5,0.16666666666666666,18
217,네이버금융,20220107,0.5,0.2777777777777778,0.2222222222222222,18
218,네이버금융,20220108,0.5,0.3,0.2,20
219,네이버금융,20220109,0.0,1.0,0.0,2
220,네이버금융,20220110,0.25,0.25,0.5,8
221,네이버금융,20220111,0.3333333333333333,0.5833333333333334,0.08333333333333333,12
222,네이버금융,20220112,0.7222222222222222,0.0,0.2777777777777778,18
223,네이버금융,20220113,0.2631578947368421,0.5263157894736842,0.21052631578947367,19
224,네이버금융,20220114,0.5882352941176471,0.17647058823529413,0.23529411764705882,17
225,네이버금융,20220115,0.7894736842105263,0.15789473684210525,0.05263157894736842,19
226,네이버금융,20220116,1.0,0.0,0.0,3
227,네이버금융,20220117,0.16666666666666666,0.0,0.8333333333333334,6
228,네이버금융,20220118,0.6363636363636364,0.0,0.36363636363636365,11
229,네이버금융,20220119,0.42857142857142855,0.5,0.07142857142857142,14
230,네이버금융,20220120,0.25,0.5,0.25,16
231,네이버금융,20220121,0.23529411764705882,0.5882352941176471,0.17647058823529413,17
232,네이버금융,20220122,0.5,0.3,0.2,20
233,네이버금융,20220123,1.0,0.0,0.0,2
234,네이버금융,20220124,0.0,0.0,1.0,6
235,네이버금융,20220125,0.15384615384615385,0.46153846153846156,0.38461538461538464,13
236,네이버금융,20220126,0.47058823529411764,0.4117647058823529,0.11764705882352941,17
237,네이버금융,20220127,0.5789473684210527,0.15789473684210525,0.2631578947368421,19
238,네이버금융,20220128,0.8823529411764706,0.0,0.11764705882352941,17
239,네이버금융,20220129,0.7058823529411765,0.17647058823529413,0.11764705882352941,17
240,네이버금융,20220130,1.0,0.0,0.0,3
241,네이버금융,20220131,0.0,0.4,0.6,5
242,네이버금융,20220201,0.25,0.6666666666666666,0.08333333333333333,12
243,네이버금융,20220202,0.4444444444444444,0.5,0.05555555555555555,18
244,네이버금융,20220203,0.4666666666666667,0.3333333333333333,0.2,15
245,네이버금융,20220204,0.6666666666666666,0.2777777777777778,0.05555555555555555,18
246,네이버금융,20220205,0.3157894736842105,0.5789473684210527,0.10526315789473684,19
247,네이버금융,20220206,0.3333333333333333,0.6666666666666666,0.0,3
248,네이버금융,20220207,0.3333333333333333,0.16666666666666666,0.5,6
249,네이버금융,20220208,0.9090909090909091,0.0,0.09090909090909091,11
250,네이버금융,20220209,0.3684210526315789,0.3684210526315789,0.2631578947368421,19
251,네이버금융,20220210,0.6,0.2,0.2,20
252,네이버금융,20220211,1.0,0.0,0.0,3
253,네이버금융,20220212,1.0,0.0,0.0,3
254,네이버금융,20220213,0.0,1.0,0.0,2
255,네이버금융,20220214,0.25,0.0,0.75,4
256,네이버금융,20220215,0.3076923076923077,0.38461538461538464,0.3076923076923077,13
257,네이버금융,20220216,0.35294117647058826,0.47058823529411764,0.17647058823529413,17
258,네이버금융,20220217,0.6111111111111112,0.16666666666666666,0.2222222222222222,18
259,네이버금융,20220218,0.7333333333333333,0.2,0.06666666666666667,15
260,네이버금융,20220219,0.6666666666666666,0.2777777777777778,0.05555555555555555,18
261,네이버금융,20220220,0.6666666666666666,0.3333333333333333,0.0,3
262,네이버금융,20220221,0.0,0.2857142857142857,0.7142857142857143,7
263,네이버금융,20220222,0.8461538461538461,0.07692307692307693,0.07692307692307693,13
264,네이버금융,20220223,0.8,0.15,0.05,20
265,네이버금융,20220224,0.5294117647058824,0.23529411764705882,0.23529411764705882,17
266,네이버금융,20220225,0.5,0.3888888888888889,0.1111111111111111,18
267,네이버금융,20220226,0.8947368421052632,0.0,0.10526315789473684,19
268,네이버금융,20220227,1.0,0.0,0.0,2
269,네이버금융,20220228,0.25,0.5,0.25,4
270,네이버금융,20220301,0.6,0.0,0.4,5
271,네이버금융,20220302,0.15,0.7,0.15,20
272,네이버금융,20220303,0.42105263157894735,0.3684210526315789,0.21052631578947367,19
273,네이버금융,20220304,0.7777777777777778,0.1111111111111111,0.1111111111111111,18
274,네이버금융,20220305,0.7368421052631579,0.15789473684210525,0.10526315789473684,19
275,네이버금융,20220306,0.5,0.5,0.0,2
276,네이버금융,20220307,0.625,0.0,0.375,8
277,네이버금융,20220308,0.6666666666666666,0.3333333333333333,0.0,12
278,네이버금융,20220309,0.7,0.2,0.1,20
279,네이버금융,20220310,0.6842105263157895,0.15789473684210525,0.15789473684210525,19
280,네이버금융,20220311,0.47058823529411764,0.5294117647058824,0.0,17
281,네이버금융,20220312,0.2,0.65,0.15,20
282,네이버금융,20220313,0.3333333333333333,0.0,0.6666666666666666,3
283,네이버금융,20220314,0.25,0.25,0.5,8
284,네이버금융,20220315,0.6923076923076923,0.07692307692307693,0.23076923076923078,13
285,네이버금융,20220316,0.5,0.45,0.05,20
286,네이버금융,20220317,0.5789473684210527,0.2631578947368421,0.15789473684210525,19
287,네이버금융,20220318,0.2777777777777778,0.5555555555555556,0.16666666666666666,18
288,네이버금융,20220319,0.85,0.0,0.15,20
289,네이버금융,20220320,1.0,0.0,0.0,2
290,네이버금융,20220321,0.25,0.375,0.375,8
291,네이버금융,20220322,0.6923076923076923,0.23076923076923078,0.07692307692307693,13
292,네이버금융,20220323,0.42105263157894735,0.3157894736842105,0.2631578947368421,19
293,네이버금융,20220324,0.7777777777777778,0.2222222222222222,0.0,18
294,네이버금융,20220325,0.5555555555555556,0.3333333333333333,0.1111111111111111,18
295,네이버금융,20220326,0.4444444444444444,0.4444444444444444,0.1111111111111111,18
296,네이버금융,20220327,0.0,0.5,0.5,2
297,네이버금융,20220328,0.125,0.0,0.875,8
298,네이버금융,20220329,0.38461538461538464,0.3076923076923077,0.3076923076923077,13
299,네이버금융,20220330,0.5,0.4,0.1,20
300,네이버금융,20220331,0.8333333333333334,0.1111111111111111,0.05555555555555555,18
301,네이버금융,20220401,0.29411764705882354,0.47058823529411764,0.23529411764705882,17
302,네이버금융,20220402,0.2631578947368421,0.5789473684210527,0.15789473684210525,19
303,네이버금융,20220404,0.0,0.2857142857142857,0.7142857142857143,7
304,네이버금융,20220405,0.25,0.6666666666666666,0.08333333333333333,12
305,네이버금융,20220406,0.2777777777777778,0.6666666666666666,0.05555555555555555,18
306,네이버금융,20220407,0.1875,0.625,0.1875,16
307,네이버금융,20220408,0.35294117647058826,0.5294117647058824,0.11764705882352941,17
308,네이버금융,20220409,0.4444444444444444,0.5,0.05555555555555555,18
309,네이버금융,20220410,0.5,0.5,0.0,2
310,네이버금융,20220411,0.0,0.8571428571428571,0.14285714285714285,7
311,네이버금융,20220412,0.08333333333333333,0.6666666666666666,0.25,12
312,네이버금융,20220413,0.3684210526315789,0.3684210526315789,0.2631578947368421,19
313,네이버금융,20220414,0.42105263157894735,0.42105263157894735,0.15789473684210525,19
314,네이버금융,20220415,0.5,0.3,0.2,20
315,네이버금융,20220416,0.15789473684210525,0.7894736842105263,0.05263157894736842,19
316,네이버금융,20220417,0.0,1.0,0.0,3
317,네이버금융,20220418,0.0,0.8333333333333334,0.16666666666666666,6
318,네이버금융,20220419,0.6923076923076923,0.07692307692307693,0.23076923076923078,13
319,네이버금융,20220420,0.5555555555555556,0.4444444444444444,0.0,18
320,네이버금융,20220421,0.95,0.0,0.05,20
321,네이버금융,20220422,0.3888888888888889,0.5,0.1111111111111111,18
322,네이버금융,20220423,0.4444444444444444,0.3333333333333333,0.2222222222222222,18
323,네이버금융,20220424,0.3333333333333333,0.6666666666666666,0.0,3
324,네이버금융,20220425,0.0,0.7142857142857143,0.2857142857142857,7
325,네이버금융,20220426,0.23076923076923078,0.6153846153846154,0.15384615384615385,13
326,네이버금융,20220427,0.631578947368421,0.2631578947368421,0.10526315789473684,19
327,네이버금융,20220428,0.631578947368421,0.2631578947368421,0.10526315789473684,19
328,네이버금융,20220429,0.7058823529411765,0.17647058823529413,0.11764705882352941,17
329,네이버금융,20220430,0.47368421052631576,0.21052631578947367,0.3157894736842105,19
330,네이버금융,20220501,0.5,0.5,0.0,2
331,네이버금융,20220502,0.2857142857142857,0.0,0.7142857142857143,7
332,네이버금융,20220503,0.8461538461538461,0.0,0.15384615384615385,13
333,네이버금융,20220504,0.23529411764705882,0.47058823529411764,0.29411764705882354,17
334,네이버금융,20220505,1.0,0.0,0.0,3
335,네이버금융,20220506,0.3888888888888889,0.5,0.1111111111111111,18
336,네이버금융,20220507,0.2631578947368421,0.47368421052631576,0.2631578947368421,19
337,네이버금융,20220508,0.5,0.5,0.0,2
338,네이버금융,20220509,0.14285714285714285,0.42857142857142855,0.42857142857142855,7
339,네이버금융,20220510,0.3,0.5,0.2,10
340,네이버금융,20220511,0.8421052631578947,0.10526315789473684,0.05263157894736842,19
341,네이버금융,20220512,0.8888888888888888,0.0,0.1111111111111111,18
342,네이버금융,20220513,0.8888888888888888,0.1111111111111111,0.0,18
343,네이버금융,20220514,0.17647058823529413,0.7647058823529411,0.058823529411764705,17
344,네이버금융,20220515,0.0,0.6666666666666666,0.3333333333333333,3
345,네이버금융,20220516,0.42857142857142855,0.2857142857142857,0.2857142857142857,7
346,네이버금융,20220517,0.6153846153846154,0.23076923076923078,0.15384615384615385,13
347,네이버금융,20220518,0.5555555555555556,0.3333333333333333,0.1111111111111111,18
348,네이버금융,20220519,1.0,0.0,0.0,5
349,네이버금융,20220520,0.95,0.05,0.0,20
350,네이버금융,20220521,0.3888888888888889,0.3333333333333333,0.2777777777777778,18
351,네이버금융,20220522,0.6666666666666666,0.3333333333333333,0.0,3
352,네이버금융,20220523,0.7142857142857143,0.0,0.2857142857142857,7
353,네이버금융,20220524,1.0,0.0,0.0,12
354,네이버금융,20220525,0.2,0.65,0.15,20
355,네이버금융,20220526,0.7894736842105263,0.15789473684210525,0.05263157894736842,19
356,네이버금융,20220527,0.47368421052631576,0.21052631578947367,0.3157894736842105,19
357,네이버금융,20220528,0.5555555555555556,0.3333333333333333,0.1111111111111111,18
358,네이버금융,20220529,0.0,0.5,0.5,2
359,네이버금융,20220530,0.14285714285714285,0.5714285714285714,0.2857142857142857,7
360,네이버금융,20220531,0.3076923076923077,0.6153846153846154,0.07692307692307693,13
361,네이버금융,20220601,0.35714285714285715,0.5,0.14285714285714285,14
362,네이버금융,20220602,0.5,0.3888888888888889,0.1111111111111111,18
363,네이버금융,20220603,0.15789473684210525,0.7368421052631579,0.10526315789473684,19
364,네이버금융,20220604,0.7894736842105263,0.10526315789473684,0.10526315789473684,19
365,네이버금융,20220605,0.0,1.0,0.0,2
366,네이버금융,20220606,0.25,0.25,0.5,8
367,네이버금융,20220607,0.6153846153846154,0.38461538461538464,0.0,13
368,네이버금융,20220608,0.55,0.1,0.35,20
369,네이버금융,20220609,0.625,0.1875,0.1875,16
370,네이버금융,20220610,0.631578947368421,0.05263157894736842,0.3157894736842105,19
371,네이버금융,20220611,0.5263157894736842,0.3157894736842105,0.15789473684210525,19
372,네이버금융,20220612,0.3333333333333333,0.6666666666666666,0.0,3
373,네이버금융,20220613,0.2857142857142857,0.0,0.7142857142857143,7
374,네이버금융,20220614,0.5,0.25,0.25,12
375,네이버금융,20220615,0.3,0.5,0.2,20
376,네이버금융,20220616,0.2631578947368421,0.42105263157894735,0.3157894736842105,19
377,네이버금융,20220617,0.5,0.2222222222222222,0.2777777777777778,18
378,네이버금융,20220618,0.47368421052631576,0.2631578947368421,0.2631578947368421,19
379,네이버금융,20220619,1.0,0.0,0.0,3
380,네이버금융,20220620,0.0,0.5714285714285714,0.42857142857142855,7
381,네이버금융,20220621,0.75,0.16666666666666666,0.08333333333333333,12
382,네이버금융,20220622,0.3,0.5,0.2,20
383,네이버금융,20220623,0.47368421052631576,0.47368421052631576,0.05263157894736842,19
384,네이버금융,20220624,0.7,0.15,0.15,20
385,네이버금융,20220625,0.47058823529411764,0.47058823529411764,0.058823529411764705,17
386,네이버금융,20220626,0.5,0.5,0.0,2
387,네이버금융,20220627,0.0,0.8,0.2,5
388,네이버금융,20220628,0.4166666666666667,0.25,0.3333333333333333,12
389,네이버금융,20220629,0.5,0.25,0.25,20
390,네이버금융,20220630,0.5263157894736842,0.42105263157894735,0.05263157894736842,19
